Date : 2026-03-05 16:11:09
Directory : d:\wamp\www\Supply
Total : 343 files,  48366 codes, 2805 comments, 5506 blanks, all 56677 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| resources\views\messages                                                                                  |          3 |        673 |         33 |         74 |        780 |
| resources\views\panier                                                                                    |          1 |        181 |          0 |         16 |        197 |
| resources\views\partials                                                                                  |          5 |        243 |          2 |         27 |        272 |
| resources\views\produits                                                                                  |          2 |        702 |         23 |         69 |        794 |
| resources\views\vendeur                                                                                   |         21 |      3,657 |         45 |        373 |      4,075 |
| resources\views\vendeur (Files)                                                                           |         10 |      2,220 |         32 |        234 |      2,486 |
| resources\views\vendeur\commandes                                                                         |          2 |        376 |          1 |         30 |        407 |
| resources\views\vendeur\messagerie                                                                        |          1 |         83 |          0 |          8 |         91 |
| resources\views\vendeur\messages                                                                          |          1 |        205 |          1 |         12 |        218 |
| resources\views\vendeur\produits                                                                          |          3 |        446 |         11 |         55 |        512 |
| resources\views\vendeur\stock                                                                             |          4 |        327 |          0 |         34 |        361 |
| routes                                                                                                    |          5 |        303 |         49 |         74 |        426 |
| tests                                                                                                     |         11 |        492 |         23 |        153 |        668 |
| tests (Files)                                                                                             |          2 |        163 |         16 |         35 |        214 |
| tests\Feature                                                                                             |          8 |        319 |          4 |        114 |        437 |
| tests\Feature (Files)                                                                                     |          2 |         87 |          4 |         29 |        120 |
| tests\Feature\Auth                                                                                        |          6 |        232 |          0 |         85 |        317 |
| tests\Unit                                                                                                |          1 |         10 |          3 |          4 |         17 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\wamp\www\Supply\ADMIN_GUIDE.md                                                                         | Markdown   |        217 |          0 |         49 |        266 |
| d:\wamp\www\Supply\ADMIN_ROLE_GUIDE.md                                                                    | Markdown   |        242 |          0 |         80 |        322 |
| d:\wamp\www\Supply\ADMIN_SETUP.md                                                                         | Markdown   |        304 |          0 |         73 |        377 |
| d:\wamp\www\Supply\API_SETUP.md                                                                           | Markdown   |        369 |          0 |        126 |        495 |
| d:\wamp\www\Supply\ASSETS_INVENTORY.md                                                                    | Markdown   |        360 |          6 |         72 |        438 |
| d:\wamp\www\Supply\DEPLOYMENT.md                                                                          | Markdown   |        296 |          0 |         73 |        369 |
| d:\wamp\www\Supply\DESIGN.md                                                                              | Markdown   |        313 |          8 |         72 |        393 |
| d:\wamp\www\Supply\GUIDE_IMAGES_AFFICHAGE.md                                                              | Markdown   |        136 |          4 |         40 |        180 |
| d:\wamp\www\Supply\IMPLEMENTATION.md                                                                      | Markdown   |        298 |          1 |         82 |        381 |
| d:\wamp\www\Supply\INSTALLATION.md                                                                        | Markdown   |        305 |          0 |        118 |        423 |
| d:\wamp\www\Supply\NAVIGATION_UX_IMPROVEMENTS.md                                                          | Markdown   |        132 |          2 |         49 |        183 |
| d:\wamp\www\Supply\README.md                                                                              | Markdown   |         39 |          0 |         21 |         60 |
| d:\wamp\www\Supply\README_ADMIN.md                                                                        | Markdown   |        344 |          0 |         80 |        424 |
| d:\wamp\www\Supply\SYNTHESE_IMAGES_INTEGREES.md                                                           | Markdown   |        196 |          3 |         52 |        251 |
| d:\wamp\www\Supply\WEBSOCKET_SETUP.md                                                                     | Markdown   |        187 |          0 |         44 |        231 |
| d:\wamp\www\Supply\app\Console\Commands\CreateAdminCommand.php                                            | PHP        |         38 |          4 |         10 |         52 |
| d:\wamp\www\Supply\app\Console\Commands\ResetUserPassword.php                                             | PHP        |         27 |         13 |         11 |         51 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminAuditController.php                                    | PHP        |        264 |         48 |         58 |        370 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminCategoryController.php                                 | PHP        |        163 |         40 |         42 |        245 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminConfigurationController.php                            | PHP        |         95 |         23 |         25 |        143 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminDashboardController.php                                | PHP        |        156 |         19 |         26 |        201 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminDisputeController.php                                  | PHP        |         91 |         21 |         25 |        137 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminModeController.php                                     | PHP        |         34 |         18 |         10 |         62 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminOrderController.php                                    | PHP        |        108 |         25 |         32 |        165 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminProductController.php                                  | PHP        |        135 |         31 |         33 |        199 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminReportController.php                                   | PHP        |        196 |         26 |         40 |        262 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminUserController.php                                     | PHP        |        154 |         34 |         39 |        227 |
| d:\wamp\www\Supply\app\Http\Controllers\Admin\AdminVendorController.php                                   | PHP        |        143 |         31 |         34 |        208 |
| d:\wamp\www\Supply\app\Http\Controllers\Api\DeliveryLocationController.php                                | PHP        |        155 |         19 |         17 |        191 |
| d:\wamp\www\Supply\app\Http\Controllers\Api\LocationController.php                                        | PHP        |        126 |         19 |         20 |        165 |
| d:\wamp\www\Supply\app\Http\Controllers\Api\OrderValidationController.php                                 | PHP        |        197 |         22 |         24 |        243 |
| d:\wamp\www\Supply\app\Http\Controllers\Api\PaymentCinemaController.php                                   | PHP        |        280 |         58 |         54 |        392 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\AuthenticatedSessionController.php                           | PHP        |         34 |         10 |         13 |         57 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\ConfirmablePasswordController.php                            | PHP        |         28 |          6 |          7 |         41 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationCodeController.php                          | PHP        |         73 |         19 |         25 |        117 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationNotificationController.php                  | PHP        |         16 |          3 |          6 |         25 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\EmailVerificationPromptController.php                        | PHP        |         15 |          3 |          4 |         22 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\NewPasswordController.php                                    | PHP        |         41 |         14 |          8 |         63 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\PasswordController.php                                       | PHP        |         21 |          3 |          6 |         30 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\PasswordResetLinkController.php                              | PHP        |         27 |         11 |          7 |         45 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\RegisteredUserController.php                                 | PHP        |        102 |         23 |         21 |        146 |
| d:\wamp\www\Supply\app\Http\Controllers\Auth\VerifyEmailController.php                                    | PHP        |         19 |          3 |          6 |         28 |
| d:\wamp\www\Supply\app\Http\Controllers\AvisController.php                                                | PHP        |         62 |         15 |         12 |         89 |
| d:\wamp\www\Supply\app\Http\Controllers\ClientDashboardController.php                                     | PHP        |        102 |         31 |         28 |        161 |
| d:\wamp\www\Supply\app\Http\Controllers\CommandeController.php                                            | PHP        |        353 |         77 |         88 |        518 |
| d:\wamp\www\Supply\app\Http\Controllers\Controller.php                                                    | PHP        |          5 |          1 |          3 |          9 |
| d:\wamp\www\Supply\app\Http\Controllers\FavoriteController.php                                            | PHP        |         55 |          6 |         15 |         76 |
| d:\wamp\www\Supply\app\Http\Controllers\MessageController.php                                             | PHP        |        199 |         36 |         32 |        267 |
| d:\wamp\www\Supply\app\Http\Controllers\PanierController.php                                              | PHP        |        143 |         26 |         27 |        196 |
| d:\wamp\www\Supply\app\Http\Controllers\ProduitController.php                                             | PHP        |         79 |         15 |         17 |        111 |
| d:\wamp\www\Supply\app\Http\Controllers\ProfileController.php                                             | PHP        |         47 |         15 |         18 |         80 |
| d:\wamp\www\Supply\app\Http\Controllers\SearchController.php                                              | PHP        |         69 |         10 |         12 |         91 |
| d:\wamp\www\Supply\app\Http\Controllers\ValidationController.php                                          | PHP        |         82 |         23 |         25 |        130 |
| d:\wamp\www\Supply\app\Http\Controllers\VendeurProduitController.php                                      | PHP        |        798 |        140 |        163 |      1,101 |
| d:\wamp\www\Supply\app\Http\Controllers\Vendeur\EspaceVendeurController.php                               | PHP        |         68 |         17 |         18 |        103 |
| d:\wamp\www\Supply\app\Http\Controllers\Vendeur\StockController.php                                       | PHP        |         92 |         17 |         26 |        135 |
| d:\wamp\www\Supply\app\Http\Controllers\VendorStatisticsController.php                                    | PHP        |        124 |         16 |         20 |        160 |
| d:\wamp\www\Supply\app\Http\Middleware\AdminMiddleware.php                                                | PHP        |         19 |          7 |          7 |         33 |
| d:\wamp\www\Supply\app\Http\Middleware\LogSecurityEvents.php                                              | PHP        |         51 |         10 |         12 |         73 |
| d:\wamp\www\Supply\app\Http\Middleware\VendeurMiddleware.php                                              | PHP        |         15 |          5 |          5 |         25 |
| d:\wamp\www\Supply\app\Http\Requests\Auth\LoginRequest.php                                                | PHP        |         51 |         21 |         14 |         86 |
| d:\wamp\www\Supply\app\Http\Requests\ProfileUpdateRequest.php                                             | PHP        |         22 |          5 |          4 |         31 |
| d:\wamp\www\Supply\app\Listeners\SendWelcomeEmail.php                                                     | PHP        |         19 |          7 |          6 |         32 |
| d:\wamp\www\Supply\app\Mail\EmailVerificationCodeMail.php                                                 | PHP        |         38 |         14 |          8 |         60 |
| d:\wamp\www\Supply\app\Mail\NewVendorRegistrationNotification.php                                         | PHP        |         36 |         12 |          8 |         56 |
| d:\wamp\www\Supply\app\Mail\VendorApprovedMail.php                                                        | PHP        |         36 |         12 |          8 |         56 |
| d:\wamp\www\Supply\app\Mail\VendorRejectedMail.php                                                        | PHP        |         36 |         12 |          8 |         56 |
| d:\wamp\www\Supply\app\Mail\WelcomeEmail.php                                                              | PHP        |         38 |         14 |          8 |         60 |
| d:\wamp\www\Supply\app\Models\AdminRole.php                                                               | PHP        |         20 |          3 |          7 |         30 |
| d:\wamp\www\Supply\app\Models\AuditLog.php                                                                | PHP        |         73 |         12 |         13 |         98 |
| d:\wamp\www\Supply\app\Models\Avis.php                                                                    | PHP        |         24 |          0 |          7 |         31 |
| d:\wamp\www\Supply\app\Models\Categorie.php                                                               | PHP        |         17 |          0 |          5 |         22 |
| d:\wamp\www\Supply\app\Models\CiCommune.php                                                               | PHP        |         16 |          0 |          6 |         22 |
| d:\wamp\www\Supply\app\Models\CiDistrict.php                                                              | PHP        |         16 |          0 |          6 |         22 |
| d:\wamp\www\Supply\app\Models\CiQuartier.php                                                              | PHP        |         12 |          0 |          5 |         17 |
| d:\wamp\www\Supply\app\Models\CiRegion.php                                                                | PHP        |         12 |          0 |          5 |         17 |
| d:\wamp\www\Supply\app\Models\Commande.php                                                                | PHP        |         58 |          0 |         13 |         71 |
| d:\wamp\www\Supply\app\Models\Commune.php                                                                 | PHP        |         17 |          0 |          6 |         23 |
| d:\wamp\www\Supply\app\Models\DeliveryTracking.php                                                        | PHP        |         22 |          0 |          6 |         28 |
| d:\wamp\www\Supply\app\Models\DeliveryZone.php                                                            | PHP        |         21 |          0 |          7 |         28 |
| d:\wamp\www\Supply\app\Models\Dispute.php                                                                 | PHP        |         51 |          3 |         11 |         65 |
| d:\wamp\www\Supply\app\Models\District.php                                                                | PHP        |         17 |          0 |          6 |         23 |
| d:\wamp\www\Supply\app\Models\Favorite.php                                                                | PHP        |         16 |          0 |          6 |         22 |
| d:\wamp\www\Supply\app\Models\LigneCommande.php                                                           | PHP        |         22 |          0 |          6 |         28 |
| d:\wamp\www\Supply\app\Models\Message.php                                                                 | PHP        |         33 |          0 |          9 |         42 |
| d:\wamp\www\Supply\app\Models\Notification.php                                                            | PHP        |         22 |          0 |          6 |         28 |
| d:\wamp\www\Supply\app\Models\Panier.php                                                                  | PHP        |         17 |          0 |          6 |         23 |
| d:\wamp\www\Supply\app\Models\PanierItem.php                                                              | PHP        |         21 |          0 |          6 |         27 |
| d:\wamp\www\Supply\app\Models\Payment.php                                                                 | PHP        |         23 |          0 |          5 |         28 |
| d:\wamp\www\Supply\app\Models\Produit.php                                                                 | PHP        |         79 |          2 |         17 |         98 |
| d:\wamp\www\Supply\app\Models\Promotion.php                                                               | PHP        |         24 |          0 |          6 |         30 |
| d:\wamp\www\Supply\app\Models\Quartier.php                                                                | PHP        |         12 |          0 |          5 |         17 |
| d:\wamp\www\Supply\app\Models\Region.php                                                                  | PHP        |         12 |          0 |          5 |         17 |
| d:\wamp\www\Supply\app\Models\SecurityLog.php                                                             | PHP        |         83 |         22 |         13 |        118 |
| d:\wamp\www\Supply\app\Models\Stock.php                                                                   | PHP        |         19 |          0 |          6 |         25 |
| d:\wamp\www\Supply\app\Models\StockAlert.php                                                              | PHP        |         23 |          3 |          7 |         33 |
| d:\wamp\www\Supply\app\Models\StockMouvement.php                                                          | PHP        |         27 |          1 |          7 |         35 |
| d:\wamp\www\Supply\app\Models\SystemConfiguration.php                                                     | PHP        |         33 |          9 |          8 |         50 |
| d:\wamp\www\Supply\app\Models\User.php                                                                    | PHP        |        144 |         31 |         31 |        206 |
| d:\wamp\www\Supply\app\Models\UserBan.php                                                                 | PHP        |         42 |          3 |         10 |         55 |
| d:\wamp\www\Supply\app\Models\UserDocument.php                                                            | PHP        |         43 |          6 |          9 |         58 |
| d:\wamp\www\Supply\app\Models\VendorValidation.php                                                        | PHP        |         65 |         18 |         13 |         96 |
| d:\wamp\www\Supply\app\Providers\AppServiceProvider.php                                                   | PHP        |         14 |          7 |          5 |         26 |
| d:\wamp\www\Supply\app\Providers\EventServiceProvider.php                                                 | PHP        |         16 |         11 |          5 |         32 |
| d:\wamp\www\Supply\app\Services\AuditService.php                                                          | PHP        |        200 |         42 |         20 |        262 |
| d:\wamp\www\Supply\app\Services\CurrencyConverterService.php                                              | PHP        |         73 |         17 |         19 |        109 |
| d:\wamp\www\Supply\app\Services\DeviceParserService.php                                                   | PHP        |         86 |         15 |          8 |        109 |
| d:\wamp\www\Supply\app\Services\PaymentService.php                                                        | PHP        |        103 |         19 |         14 |        136 |
| d:\wamp\www\Supply\app\Services\StockService.php                                                          | PHP        |         81 |         26 |         15 |        122 |
| d:\wamp\www\Supply\app\View\Components\AppLayout.php                                                      | PHP        |         11 |          3 |          4 |         18 |
| d:\wamp\www\Supply\app\View\Components\GuestLayout.php                                                    | PHP        |         11 |          3 |          4 |         18 |
| d:\wamp\www\Supply\app\View\Components\Icon.php                                                           | PHP        |         17 |          0 |          6 |         23 |
| d:\wamp\www\Supply\app\View\Components\IconMapper.php                                                     | PHP        |         50 |          0 |          8 |         58 |
| d:\wamp\www\Supply\bootstrap\app.php                                                                      | PHP        |         23 |          4 |          5 |         32 |
| d:\wamp\www\Supply\bootstrap\cache\events.php                                                             | PHP        |         16 |          0 |          0 |         16 |
| d:\wamp\www\Supply\bootstrap\cache\packages.php                                                           | PHP        |         79 |          0 |          0 |         79 |
| d:\wamp\www\Supply\bootstrap\cache\services.php                                                           | PHP        |        276 |          0 |          0 |        276 |
| d:\wamp\www\Supply\bootstrap\providers.php                                                                | PHP        |          5 |          0 |          2 |          7 |
| d:\wamp\www\Supply\check-product-names.php                                                                | PHP        |         24 |          3 |         10 |         37 |
| d:\wamp\www\Supply\check-unlinked-images.php                                                              | PHP        |         46 |          2 |         16 |         64 |
| d:\wamp\www\Supply\composer.json                                                                          | JSON       |         91 |          0 |          1 |         92 |
| d:\wamp\www\Supply\composer.lock                                                                          | JSON       |      9,195 |          0 |          1 |      9,196 |
| d:\wamp\www\Supply\config\app.php                                                                         | PHP        |         22 |         82 |         23 |        127 |
| d:\wamp\www\Supply\config\auth.php                                                                        | PHP        |         28 |         74 |         14 |        116 |
| d:\wamp\www\Supply\config\cache.php                                                                       | PHP        |         64 |         35 |         19 |        118 |
| d:\wamp\www\Supply\config\database.php                                                                    | PHP        |        118 |         43 |         23 |        184 |
| d:\wamp\www\Supply\config\filesystems.php                                                                 | PHP        |         36 |         32 |         13 |         81 |
| d:\wamp\www\Supply\config\logging.php                                                                     | PHP        |         79 |         33 |         21 |        133 |
| d:\wamp\www\Supply\config\mail.php                                                                        | PHP        |         57 |         43 |         19 |        119 |
| d:\wamp\www\Supply\config\queue.php                                                                       | PHP        |         65 |         45 |         20 |        130 |
| d:\wamp\www\Supply\config\services.php                                                                    | PHP        |         28 |         11 |         10 |         49 |
| d:\wamp\www\Supply\config\session.php                                                                     | PHP        |         23 |        160 |         35 |        218 |
| d:\wamp\www\Supply\create-admin.php                                                                       | PHP        |         26 |          4 |          7 |         37 |
| d:\wamp\www\Supply\database\factories\UserFactory.php                                                     | PHP        |         25 |         14 |          6 |         45 |
| d:\wamp\www\Supply\database\migrations\0001_01_01_000000_create_users_table.php                           | PHP        |         38 |          6 |          6 |         50 |
| d:\wamp\www\Supply\database\migrations\0001_01_01_000001_create_cache_table.php                           | PHP        |         25 |          6 |          5 |         36 |
| d:\wamp\www\Supply\database\migrations\0001_01_01_000002_create_jobs_table.php                            | PHP        |         46 |          6 |          6 |         58 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_082335_add_role_to_users_table.php                      | PHP        |         19 |          6 |          4 |         29 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_084000_create_stock_payment_promotion.php               | PHP        |         41 |          3 |          6 |         50 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_090000_create_ecommerce_tables.php                      | PHP        |        102 |         15 |         12 |        129 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_120000_link_product_images.php                          | PHP        |         30 |          7 |          5 |         42 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_130000_link_category_and_product_images.php             | PHP        |         44 |          8 |          7 |         59 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_140000_fix_all_product_images.php                       | PHP        |         40 |         13 |         10 |         63 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_145000_add_note_columns_to_produits.php                 | PHP        |         24 |          0 |          4 |         28 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_150000_add_avis_system.php                              | PHP        |         50 |          2 |          6 |         58 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_170000_add_user_fields.php                              | PHP        |         33 |          0 |          4 |         37 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_180000_add_payment_method.php                           | PHP        |         26 |          0 |          4 |         30 |
| d:\wamp\www\Supply\database\migrations\2026_01_06_190000_update_payment_type_enum.php                     | PHP        |         20 |          1 |          4 |         25 |
| d:\wamp\www\Supply\database\migrations\2026_01_07_000000_add_user_id_to_produits.php                      | PHP        |         22 |          8 |          4 |         34 |
| d:\wamp\www\Supply\database\migrations\2026_01_07_000001_add_boutique_fields_to_users.php                 | PHP        |         21 |          7 |          4 |         32 |
| d:\wamp\www\Supply\database\migrations\2026_01_08_100410_create_stock_mouvements_table.php                | PHP        |         28 |          6 |          5 |         39 |
| d:\wamp\www\Supply\database\migrations\2026_01_08_101900_add_est_actif_to_produits_table.php              | PHP        |         21 |          6 |          4 |         31 |
| d:\wamp\www\Supply\database\migrations\2026_01_15_000000_add_vendor_fields_to_users_table.php             | PHP        |         51 |          7 |          4 |         62 |
| d:\wamp\www\Supply\database\migrations\2026_01_15_150000_fix_user_roles.php                               | PHP        |         16 |          8 |          4 |         28 |
| d:\wamp\www\Supply\database\migrations\2026_01_16_000615_create_favorites_table.php                       | PHP        |         21 |          7 |          5 |         33 |
| d:\wamp\www\Supply\database\migrations\2026_02_28_000000_add_profile_photo_to_users_table.php             | PHP        |         19 |          6 |          4 |         29 |
| d:\wamp\www\Supply\database\migrations\2026_02_28_000001_add_delivery_location_to_users.php               | PHP        |         20 |          7 |          4 |         31 |
| d:\wamp\www\Supply\database\migrations\2026_02_28_000002_create_security_logs_table.php                   | PHP        |         33 |         11 |         10 |         54 |
| d:\wamp\www\Supply\database\migrations\2026_03_01_000000_add_email_verification_code_to_users_table.php   | PHP        |         20 |          6 |          4 |         30 |
| d:\wamp\www\Supply\database\migrations\2026_03_01_000001_create_delivery_locations_and_payment_cinema.php | PHP        |         61 |          6 |         11 |         78 |
| d:\wamp\www\Supply\database\migrations\2026_03_01_add_country_to_users_table.php                          | PHP        |         23 |          6 |          4 |         33 |
| d:\wamp\www\Supply\database\migrations\2026_03_01_create_ci_locations_tables.php                          | PHP        |         46 |         10 |          7 |         63 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000001_create_admin_roles_table.php                     | PHP        |         29 |          7 |          6 |         42 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000002_create_user_documents_table.php                  | PHP        |         26 |          6 |          5 |         37 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000003_create_user_bans_table.php                       | PHP        |         34 |          7 |          7 |         48 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000004_create_stock_alerts_table.php                    | PHP        |         34 |          7 |          7 |         48 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000005_create_disputes_table.php                        | PHP        |         32 |          6 |          5 |         43 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000006_create_system_configurations_table.php           | PHP        |         22 |          6 |          4 |         32 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000007_create_delivery_zones_table.php                  | PHP        |         42 |          8 |          8 |         58 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_000008_create_delivery_tracking_table.php               | PHP        |         40 |          7 |          7 |         54 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_125517_modify_produits_image_to_json.php                | PHP        |         21 |          8 |          5 |         34 |
| d:\wamp\www\Supply\database\migrations\2026_03_02_231909_fix_image_paths.php                              | PHP        |         19 |          9 |          5 |         33 |
| d:\wamp\www\Supply\database\migrations\2026_03_03_000009_create_audit_logs_table.php                      | PHP        |         30 |          1 |          5 |         36 |
| d:\wamp\www\Supply\database\migrations\2026_03_03_000010_add_vendor_validation_to_users.php               | PHP        |         27 |          0 |          4 |         31 |
| d:\wamp\www\Supply\database\migrations\2026_03_03_000011_add_is_active_to_categories.php                  | PHP        |         23 |          7 |          4 |         34 |
| d:\wamp\www\Supply\database\migrations\2026_03_03_000012_create_vendor_validations_table.php              | PHP        |         29 |          1 |          5 |         35 |
| d:\wamp\www\Supply\database\migrations\2026_03_03_000013_add_model_name_reason_to_audit_logs.php          | PHP        |         33 |          1 |          4 |         38 |
